Label,QualifiedApiName
zSL Corp Code,zSLCorpCode__c
zSL Location Code,zSLLocationCode__c
zSF Client Key,zSFClientKey__c
zSF Property Key,zSFFacilityKey__c
Merchant ID (New),MerchantIDnew__c
# In Progress Assets,InProgressAssets__c
# of Transferred Assets,TransferredAssets__c
SF BE ID,SFBEID__c
# PWC / Jet Ski Single Space,Num_PWC_Jet_Ski_Single_Space__c
# Powered Boats : Club,Num_Powered_Boats_Club__c
Quick Reports,Dynamic_Reports__c
ACH ID,ACHID__c
HQMerchantID,HQMerchantID__c
X - Live SLMS Assets,ofSLMSLiveChildacct__c
X - # of Custom SLMS Live - Child acct,ofCustomSLMSLiveChildacct__c
Has SLMS?,HasSLMS__c
X - # of Custom Stopay Live- Child acct,ofCustomSLMSStopayLiveChildacct__c
# of Child Accounts,Number_of_Child_Accounts__c
Billing,ID_Summary_Billing__c
# of Accounts,Number_of_Accounts__c
Payments,ID_Summary_Payments__c
Software,ID_Summary_Software__c
dL Cross-sell Opp Monthly Access Rev,dL_CrossSell_Opp_Access__c
Uses API,Uses_API__c
Uses Store Local,Uses_Store_Local__c
Disable Deduplicate,dupcheck__dc3DisableDuplicateCheck__c
Deduplicate Index,dupcheck__dc3Index__c
Account Owner,Account_Owner_Full_Name__c
# of Deebooked Assets,ofDeebookedAssets__c
Dissatisfied CSATs (90 Days),Number_of_Dissatisfied_CSATs_90_Days__c
Health Override,Health_Override__c
Health (α),Health__c
Hibernate / Do Not Call,Hibernate_Do_Not_Call__c
Customer Age,Customer_Age_Friendly__c
Customer Age (Days),Customer_Age_Days__c
Last Activity Date,Last_Activity_Date__c
Activity Age,Activity_Age_Friendly__c
Engagement Score,Health_Engagement_Score__c
Sentiment Score,Health_Sentiment_Score__c
Satisfied CSATs (90 Days),Number_of_Satisfied_CSATs_90_Days__c
Total CSATs (90 Days),Total_Number_of_CSATs_90_Days_c__c
NPS Detractors (90 Days),Number_of_NPS_Detractors_90_Days__c
NPS Promoters (90 Days),Number_of_NPS_Promoters_90_Days__c
NPS Passives (90 Days),Number_of_NPS_Passives_90_Days__c
Total NPS (90 Days),Total_NPS_90_Days__c
Advocacy Score,Health_Advocacy_Score__c
Account CSM/PM,Client_Success_Manager__c
Has Property with Live Asset(s),Has_Facility_with_Live_Asset_s__c
Live Asset MRR,MRR__c
Live Asset MVR,MVR__c
Total MR,MRR_MVR__c
Spend Score,Health_Spend_Score__c
Product Score,Health_Product_Score__c
Health Score,Health_Score__c
# RV Sites : Rental,Num_RV_Sites_Rental__c
Live SP Assets,ofSPChildAcct__c
Live PMS Assets,ofPMSChildAcct_c__c
Live SBOA Assets,ofSBOAChildAcct_c__c
Live Payment Assets,ofPaymentChildAcct_c__c
Live PMS Properties,ofPMSParent__c
Live SBOA Properties,ofSBOAParent__c
Live SP Properties,ofSPParent_c__c
Live Payment Properties,ofPaymentParent__c
Websites,ID_Summary_Website__c
Marketplace,ID_Summary_Marketplace__c
Merchant Services Corporate Pricing,Uniform_Payment_Pricing__c
Insurance Corporate ID,Zoho_Corporate_ID__c
Internal Use,Internal_Use__c
Reference for Sales - Stellar,Reference_for_Sales_Stellar__c
NSA,NSA__c
CAB,CAB__c
Health Evaluation,CSM_Health_Evaluation__c
# Recreational Vehicles : Rental,Num_Recreational_Vehicles_Rental__c
No Longer in the Industry,No_Longer_in_the_Industry__c
Risk Drivers,Risk_Drivers__c
Risk Driver Details,Risk_Driver_Details__c
Path to Green,Path_to_Green__c
My CSM Accounts,My_CSM_Accounts__c
CSM Notes / Account Health History,CSM_Notes__c
Health Asks,Health_Asks__c
Executive Sponsor,Executive_Sponsor__c
Live Property MVR,MVR_Facilities__c
MVR (Avg. Actual),MVR_Avg_Actual__c
Live Properties MRR,MRR_Facilities__c
MRR (Core Products),MRR_Core_Products__c
# of Open Opportunities (CORP),ofOpenOpportunitiesCORP__c
# of Open Opportunities,ofOpenOpportunities__c
Account Alert Message,AlertMessage__c
Account Alert,Alert__c
Number EMV Asset Covered by Storable,Number_EMV_Asset_Covered_by_Storable__c
Customer Discontinued Date,Customer_Discontinued_Date__c
Property,Property__c
Operator Maturity Model Segment,Operator_Maturity_Model_Segment__c
Operator Maturity Model Sub-Segment,Operator_Maturity_Model_Sub_Segment__c
Exclude Rollup Helper,Exclude_Rollup_Helper__c
New AC Assets,of_New_AC__c
AC Expected Launch Date,AC_Expected_Launch_Date__c
Total Add to Shipping Cases,Total_Add_to_Shipping_Cases__c
Total Closed Add to Shipping Cases,Total_Closed_Add_to_Shipping_Cases__c
SE Company UUID,SE_Company_UUID__c
# of AC Hardware,of_AC_Hardware__c
